created_at,text,screen_name,source,location,followers_count,friends_count,retweet_count,favourite_count,language,sentiment_polarity
(['Fri Jun 24 11:30:18 +0000 2022'," ""b'RT @Naija_PR: World Lionel Messi Day \\n\\nHappy Birthday Idan gangan  https://t.co/FV6Bw0JcRt'""", 'Kellomucho'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '1096', '826', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:18 +0000 2022'," ""b'RT @PortalMessi: 35 anos do melhor jogador da histria. 35 anos de Lionel Messi. \\n\\n#Messi35 https://t.co/je8ucDrXeH'""", 'oxeebea'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Lionel Messi ♥️', '1885', '1015', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:19 +0000 2022'," '""b""""RT @ESPNFC: Lionel Messi turns 35 today.\\n\\nThe man was born to win Ballon d\'Ors  https://t.co/UeYnWRCnr1""""""'", 'Erick_Vinicio'," '""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>""'", '', '211', '2605', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:19 +0000 2022'," ""b'RT @ChampionsLeague:  Lionel Messi records...\\n\\n Most group stage goals (74)\\n Most round of 16 goals (28)\\n Most Champions League goals'""", 'SowmyaVirat18'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Lionel Andrés Messi Era', '2260', '554', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:19 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", '_5lfa'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '🇰🇼🇦🇪', '244', '184', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:21 +0000 2022'," ""b'RT @mxlanax: HAPPY BIRTHDAY LIONEL MESSI THE GREATEST OF ALL TIMEEEEEEE https://t.co/qzj9rk4AOv'""", 'matuka_s'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'unimportant', '311', '521', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:22 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'its_volks'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '862', '874', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:22 +0000 2022'," ""b'RT @ChampionsLeague:  Sum up Champions League legend Lionel Messi in one word...\\n\\n#UCL'""", 'EBULLIENT_____'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '4110', '550', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:23 +0000 2022'," ""b'RT @Not_ur_dushman: HAPPY BIRTHDAY LIONEL MESSI \\nG.O.A.T\\n#LionelMessi #HappyBirthday'""", 'AJ_SZD'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'CA', '575', '787', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:23 +0000 2022'," ""b'Feliz cumple al segundo mejor jugador de la historia y agredecido que hayas nacido aca en Argentina \\n\\nLIONEL ANDRS MESSI CUCCITINI '""", 'nachitoluna0'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '411', '423', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:23 +0000 2022'," '""b""""RT @lnstantFoot: Joyeux anniversaire au meilleur joueur de l\'histoire du football : Lionel Messi fte aujourd\'hui ses 35 ans !  https:/""""""'", 'diha_ftboun_mok'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '29', '276', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:24 +0000 2022'," ""b'RT @luliariasl: El cumpleaos de Lionel Messi debera ser declarado feriado nacional.'""", 'marianarobledo1'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '162', '999', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:24 +0000 2022'," ""b'RT @AlbicelesteTalk: You would think the team scored a goal. Greatness of Lionel Andres Messi \\n\\n https://t.co/bivngz7V2u'""", 'Semedo_rfd'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '723', '572', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:24 +0000 2022'," ""b'RT @_Futbolero_: Lionel Andrs Messi Cuccittini cumple hoy 35 aos. Felicidades al PUTO AMO del ftbol mundial. #GOAT https://t.co/cqPiWArR'""", '_Unaivk7_'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Madrid', '503', '305', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:25 +0000 2022'," ""b'RT @goal: Lionel Andres Messi. https://t.co/wwyLLjVxQk'""", 'Blessin02678283'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", '', '33', '82', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:26 +0000 2022'," ""b'RT @Vallalnvicta: Tiene mas ttulos(40) que aos(35). Solo Lionel Andrs Messi. Feliz cumple  https://t.co/pVIQaerC6f'""", 'Marcnosequemes'," '""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>""'", 'Rodeado de balones de oro', '1654', '2168', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:27 +0000 2022'," ""b'RT @brfootball: Lionel Messi celebrates his 35th birthday today.\\n\\nA candle for every trophy he won at Barcelona  https://t.co/GuJVXUN7EF'""", 'lame_who'," '""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>""'", 'Pakistan', '1154', '617', '', '', ''], 'Neutral')
(['Fri Jun 24 11:30:27 +0000 2022'," ""b'RT @Farhanminar1: Happy Birthday The Greatest of all time  Lionel Messi \\n#Messi https://t.co/cQI00Xua9t'""", 'Kellomucho'," '""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""'", '', '1096', '826', '', '', ''], 'Neutral')
